sample_index,forecast_day,date,predicted,actual,error
379,2,2019-12-21,22.47555160522461,1.7999999523162842,20.675552368164062
219,2,2019-12-21,22.026565551757812,1.7999999523162842,20.226566314697266
59,2,2019-12-21,21.135839462280273,1.7999999523162842,19.335840225219727
218,3,2019-12-21,20.90774154663086,1.7999999523162842,19.107742309570312
378,3,2019-12-21,20.780017852783203,1.7999999523162842,18.980018615722656
58,3,2019-12-21,20.519655227661133,1.7999999523162842,18.719655990600586
1692,3,2021-10-29,117.57439422607422,101.0,16.57439422607422
1390,3,2021-10-29,117.41735076904297,101.0,16.41735076904297
1389,4,2021-10-29,116.28009796142578,101.0,15.280097961425781
1994,3,2021-10-29,115.91258239746094,101.0,14.912582397460938
1993,4,2021-10-29,115.16990661621094,101.0,14.169906616210938
1691,4,2021-10-29,114.83012390136719,101.0,13.830123901367188
57,4,2019-12-21,15.311192512512207,1.7999999523162842,13.511192321777344
217,4,2019-12-21,14.747018814086914,1.7999999523162842,12.94701862335205
377,4,2019-12-21,14.497274398803711,1.7999999523162842,12.697274208068848
1391,2,2021-10-29,112.9262924194336,101.0,11.926292419433594
378,2,2019-12-20,85.8924560546875,74.30000305175781,11.592453002929688
216,5,2019-12-21,12.89458179473877,1.7999999523162842,11.094581604003906
56,5,2019-12-21,12.865618705749512,1.7999999523162842,11.065618515014648
220,1,2019-12-21,12.826355934143066,1.7999999523162842,11.026355743408203
