sample_index,forecast_day,date,predicted,actual,error
57,4,2019-12-21,21.69637680053711,1.7999999523162842,19.896377563476562
377,4,2019-12-21,21.452375411987305,1.7999999523162842,19.652376174926758
217,4,2019-12-21,21.193618774414062,1.7999999523162842,19.393619537353516
58,3,2019-12-21,18.453857421875,1.7999999523162842,16.653858184814453
378,3,2019-12-21,18.066312789916992,1.7999999523162842,16.266313552856445
218,3,2019-12-21,17.681438446044922,1.7999999523162842,15.881438255310059
1389,4,2021-10-29,115.2419662475586,101.0,14.241966247558594
1691,4,2021-10-29,115.22541809082031,101.0,14.225418090820312
60,1,2019-12-21,15.304390907287598,1.7999999523162842,13.504390716552734
1993,4,2021-10-29,114.32238006591797,101.0,13.322380065917969
220,1,2019-12-21,14.935212135314941,1.7999999523162842,13.135211944580078
380,1,2019-12-21,14.887626647949219,1.7999999523162842,13.087626457214355
1219,3,2021-05-11,18.74496078491211,5.699999809265137,13.044960975646973
1823,3,2021-05-11,18.718324661254883,5.699999809265137,13.018324851989746
1521,3,2021-05-11,18.486865997314453,5.699999809265137,12.786866188049316
1995,1,2021-10-28,59.641746520996094,47.29999923706055,12.341747283935547
1391,2,2021-10-29,113.25865173339844,101.0,12.258651733398438
1391,1,2021-10-28,59.52446746826172,47.29999923706055,12.224468231201172
1523,1,2021-05-11,17.885656356811523,5.699999809265137,12.185656547546387
376,5,2019-12-21,13.918439865112305,1.7999999523162842,12.118439674377441
